,Unnamed: 0,education_code,number_of_births,avg_mother_age,avg_birth_weight_grams,enrolled,7yr_avg_total_per_student,7yr_avg_instruction_per_student,7yr_avg_support_per_student,clusters
57,57,3,3346,26,3378.85,132893.0,14.546220743369531,6.939628308311747,4.78615588819919,0
58,58,4,2911,28,3427.4,133153.0,12.584213789723236,6.044064443226946,4.103414332483292,0
59,59,5,906,30,3426.6000000000004,133010.0,11.407190375100043,5.631602250962978,3.640580462444077,0
60,60,6,1848,31,3413.1,131985.0,10.856841109899014,5.482101675688793,3.44977825658718,0
61,61,7,719,33,3419.5,133508.0,10.146817520548575,5.280185430902136,3.1620032701218115,0
62,62,8,187,34,3404.25,130633.0,9.881886645164776,5.065280033676236,3.1752616641371474,0
63,63,-9,156,29,3209.75,133010.0,11.407190375100043,5.631602250962978,3.640580462444077,0
64,64,1,88,28,3196.15,133010.0,11.407190375100043,5.631602250962978,3.640580462444077,0
65,65,2,942,24,3307.3,130624.0,16.284731649631105,7.861113082738248,5.586942718616137,0
66,66,3,3097,27,3384.4,132893.0,14.546220743369531,6.939628308311747,4.78615588819919,0
67,67,4,2723,28,3409.2,132568.0,13.553676592590667,6.502930132751908,4.393707300520836,0
68,68,5,844,30,3410.4,133303.0,11.980810059740334,5.8139324780144745,3.854667375811573,0
69,69,6,1722,31,3430.25,133010.0,11.407190375100043,5.631602250962978,3.640580462444077,0
70,70,7,688,33,3452.05,132822.0,10.468694659315103,5.377339986652642,3.2995899902932897,0
71,71,8,185,34,3330.95,133508.0,10.146817520548575,5.280185430902136,3.1620032701218115,0
72,72,-9,139,29,3272.75,133303.0,11.980810059740334,5.8139324780144745,3.854667375811573,0
73,73,1,63,28,3292.95,133303.0,11.980810059740334,5.8139324780144745,3.854667375811573,0
74,74,2,880,25,3276.05,130624.0,16.284731649631105,7.861113082738248,5.586942718616137,0
75,75,3,3021,26,3392.45,130624.0,16.284731649631105,7.861113082738248,5.586942718616137,0
76,76,4,2556,28,3408.7,132893.0,14.546220743369531,6.939628308311747,4.78615588819919,0
77,77,5,838,30,3424.9,133153.0,12.584213789723236,6.044064443226946,4.103414332483292,0
78,78,6,1737,31,3436.05,133303.0,11.980810059740334,5.8139324780144745,3.854667375811573,0
79,79,7,643,33,3454.0,131985.0,10.856841109899014,5.482101675688793,3.44977825658718,0
80,80,8,209,34,3409.2,132822.0,10.468694659315103,5.377339986652642,3.2995899902932897,0
81,81,-9,169,29,3295.95,133153.0,12.584213789723236,6.044064443226946,4.103414332483292,0
82,82,1,68,30,3246.55,133010.0,11.407190375100043,5.631602250962978,3.640580462444077,0
83,83,2,830,25,3235.55,130236.0,17.10988956044107,8.338870140848696,6.019156889646495,0
84,84,3,3001,27,3366.4,130624.0,16.284731649631105,7.861113082738248,5.586942718616137,0
85,85,4,2446,28,3408.1,132197.0,15.401177040236291,7.374711248779255,5.167217179435623,0
86,86,5,776,30,3422.5,132568.0,13.553676592590667,6.502930132751908,4.393707300520836,0
87,87,6,1675,32,3428.3,133303.0,11.980810059740334,5.8139324780144745,3.854667375811573,0
88,88,7,636,33,3417.55,133010.0,11.407190375100043,5.631602250962978,3.640580462444077,0
89,89,8,221,34,3382.2,131985.0,10.856841109899014,5.482101675688793,3.44977825658718,0
90,90,-9,153,29,3230.2,132568.0,13.553676592590667,6.502930132751908,4.393707300520836,0
91,91,1,53,29,3362.15,133153.0,12.584213789723236,6.044064443226946,4.103414332483292,0
92,92,2,735,26,3306.95,130236.0,17.10988956044107,8.338870140848696,6.019156889646495,0
93,93,3,2994,27,3369.3,130236.0,17.10988956044107,8.338870140848696,6.019156889646495,0
94,94,4,2300,28,3384.3,130624.0,16.284731649631105,7.861113082738248,5.586942718616137,0
95,95,5,813,30,3405.95,132893.0,14.546220743369531,6.939628308311747,4.78615588819919,0
96,96,6,1579,31,3412.0,132568.0,13.553676592590667,6.502930132751908,4.393707300520836,0
97,97,7,612,33,3390.0,133303.0,11.980810059740334,5.8139324780144745,3.854667375811573,0
98,98,8,230,34,3393.1000000000004,133010.0,11.407190375100043,5.631602250962978,3.640580462444077,0
